Key,Value
kpi10,10.PSQ3a- Standardised mortality ratio for ICU
kpi11,11.PSQ3a- Return to the emergency department within 72 hours with similar presenting complaints
kpi12,12.PSQ3a- Incidence of hospital associated pressure ulcers after admission <br> (Bed sore per 1000 patient days)
kpi13,13.PSQ3b- Catheter associated urinary tract infection rate
kpi14,14.PSQ3b- Ventilator associated pneumonia rate
kpi15,15.PSQ3b- Central line - associated blood stream infection rate
kpi16,16.PSQ3b- Surgical site infection rate
kpi17,17.PSQ3b- Hand hygiene compliance rate
kpi18,18.PSQ3b- Percentage of cases who received appropriate prophylactic antibiotics within <br> the specified timeframe
kpi19,19.PSQ3c- Percentage of re- scheduling of surgeries
kpi20,20.PSQ3c- Turn around time for issue of blood and blood components
kpi21,21.PSQ3c- Nurse-patient ratio for ICUs
kpi21a,21a.PSQ3c- Nurse-patient ratio for Wards
kpi22,22.PSQ3c - Waiting time for out- patient consultation
kpi23,23.PSQ4c- Waiting time for diagnostics
kpi23a,23a.PSQ4c- Waiting time for laboratory diagnostics
kpi23b,23b.PSQ4c- Waiting time for X-ray diagnostics
kpi23c,23c.PSQ4c- Waiting time for USG diagnostics
kpi23d,23d.PSQ4c- Waiting time for CT scan diagnostics
kpi24,24.PSQ4c- Time taken for discharge
kpi25,25.PSQ4c- Percentage of medical records having incomplete and/or improper consent
kpi26,26.PSQ4c- Stock out rate of emergency medications
kpi27,27.PSQ4d- Number of variations observed in mock drills
kpi28,28.PSQ4d- Patient fall rate (Falls per 1000 patient days)
kpi29,29.PSQ4d- Percentage of near misses
kpi30,30.PSQ3d- Incidence of needle stick injuries
kpi31,31.PSQ3d- Appropriate handovers during shift change (To be done separately <br> for doctors and nurses)
kpi32,32.PSQ3d- Compliance rate to medication prescription in capitals
kpi33,PSQ3a - Readmission to ICU within 48 hours after being discharged
kpi34,PSQ3a - Percentage of Beta-blocker prescription with a diagnosis of CHF with reduced EF
kpi35,PSQ3a - Percentage of patients with myocardial infarction for whom door to balloon time of 90 minutes is achieved
kpi36,PSQ3a - Percentage of Hospitalized patients with hypoglycemia who achieved targeted blood glucose level
kpi37,PSQ3a - Spontaneous Perineal Tear Rate
kpi38,PSQ3a - Postoperative Endophthalmitis Rate
kpi39,PSQ3a - Percentage of patients undergoing colonoscopy who are sedated
kpi40,PSQ3a - Bile Duct injury rate requiring operative intervention during Laparoscopic cholecystectomy
kpi41,PSQ3a - Percentage of POCT results which led to a clinical intervention
kpi42,PSQ3a - Functional gain following rehabilitation
kpi43,PSQ3a - Percentage of sepsis patients who receive care as per the Hour-1 sepsis bundle
kpi44,PSQ3a - Percentage of COPD patients receiving COPD Action plan at the time of discharge
kpi45,PSQ3a - Percentage of stroke patients in whom the Door-to-Needle Time (DTN) of 60 minutes is achieved
kpi46,PSQ3a - Percentage of bronchiolitis patients treated inappropriately
kpi47,PSQ3a - Percentage of oncology patients who had treatment initiated following Multidisciplinary meeting
kpi48,PSQ3a - Percentage of adverse reaction to radiopharmaceutical
kpi49,PSQ3a - Percentage of Intravenous Contrast Media Extravasation
kpi50,PSQ3a - Time taken for triage
kpi51,PSQ3a - Percentage of patients undergoing dialysis who are able to achieve target hemoglobin levels

emp,Employee details
avg,Avg. time taken
bench,Bench Mark Time
data,Data analysis
corrective,Corrective action
preventive,Preventive action
