Key,Value
global_request_dashboard,Requests Dashboard
global_all_requests,All Requests
global_search_requests,Search Requests
global_inc_dash,Incidents Dashboard
global_all_inc,All Incidents
global_search_inc,Search Incidents
global_sgs,Staff Grievances
global_grievances_dash,Grievances Dashboard
global_all_gs,All Grievances
global_search_grievances,Search Grievances
global_org_profile,Organization Profile
global_app_setting,Application Settings
global_manage_sub,Manage Subscription
global_your_downloads,Your Downloads
global_ticket_dash,Ticket Dashboards
global_adfs_tickets,Admission Tickets
global_ips_tickets,IP Discharge Tickets
global_ops_tickets,OP Tickets
global_gievance_ticket,Grievance Tickets
global_grievance_dash,Grievance Dashboard
global_all_g,All Grievance
global_open_g,Open Grievance
global_closed_g,Closed Grievance
global_ip_list,InPatients List
global_dis_ip,Discharged InPatients
global_consolidated_report,Consolidated Report
global_archive_data,Archive Data
global_admit_patient,Admit Patient
global_toogle_navi,Toggle navigation
global_efeedor_patient_exp,VYKO HEALTHCARE EXPERIENCE PLATFORM
global_efeedor_patient_exp_tooltip,VYKO HEALTHCARE EXPERIENCE PLATFORM
global_if_an_org_emp,If you are an organisation employee,
global_view_more_con,to view more controls
global_select_your_data_range,Select your Date range to view the time-based report.
global_from_date,From Date
global_to_date,to Date
global_search,Search
global_no_feedback,No Feedbacks
global_view_all,View All
global_service_raised_by,Service Request raised by
global_for,for
global_complaint_raised_by,Complaint raised by
global_no_complaints,No Complaints
global_inc_reported_by,Incident reported by
global_on,on
global_grievance_reported_by,Grievance reported by
global_sfrom,from
global_complaint_dash,Complaints Dashboard
global_settings,Settings
global_your_dep,Your Departments
global_showing_datafrom,Showing data from
global_click_to_download_tooltip,Click on the download icon to download the reports.
global_last_month,Last Month
global_this_month,This Month
global_all_downloads,Downloads
global_pdf_discharge_feedback,POST DISCHARGE FEEDBACK
global_pdf_feedbacks,Post Discharge Feedback
global_pdf_complaints,POST DISCHARGE FEEDBACK
global_pdf_tickets,POST DISCHARGE TICKETS
global_post_feedback,Post Discharge Feedback
global_pdf_ticketss,Post Discharge Tickets
global_admission_section_op,Outpatient Section
global_admit_patient_op,Add Outpatient 
global_ip_list_op,Active Outpatients List
global_dis_op,Former Outpatients List
global_admitted_patients_op,Active Outpatients
global_discharged_patients_op,Former Outpatients
global_total_patients_op,Total Outpatients
global_add_patient_op,Add Outpatients
